project_id,project_type,baseline_cost_millions,baseline_duration_months,soil_quality,contractor_reliability,supply_delay_rate,design_change_rate,weather_risk_index,change_orders_count,change_orders_value_millions,cost_multiplier,final_cost_millions,final_duration_months
P1000,road,151.14,22,good,0.649,2,0.286,0.783,2,37.45,1.502,227.02,31
P1001,building,188.55,47,poor,0.39,1,0.223,0.909,2,27.8,1.295,244.22,75
P1002,building,576.85,24,poor,0.841,1,0.515,0.37,2,372.07,2.418,1394.63,36
P1003,bridge,519.86,60,moderate,0.944,1,0.092,0.751,0,0.0,2.24,1164.63,80
P1004,road,66.02,14,moderate,0.977,1,0.216,0.897,0,0.0,2.31,152.5,19
P1005,road,159.91,44,moderate,0.743,1,0.45,0.846,2,17.01,2.738,437.82,65
P1006,road,113.9,17,good,0.642,0,0.318,0.183,0,0.0,0.854,97.22,20
P1007,building,344.11,21,poor,0.89,3,0.319,0.956,0,0.0,4.787,1647.17,35
P1008,bridge,293.83,22,good,0.712,2,0.13,0.377,0,0.0,1.382,406.17,29
P1009,building,233.72,34,good,0.817,0,0.217,0.339,1,12.44,1.794,419.37,39
P1010,road,181.63,21,moderate,0.68,2,0.1,0.062,1,6.49,2.308,419.11,29
P1011,building,345.95,13,good,0.584,0,0.087,0.486,0,0.0,0.853,294.94,15
P1012,building,151.39,24,good,0.726,2,0.48,0.109,4,52.09,1.412,213.74,32
P1013,road,129.83,13,moderate,0.833,1,0.553,0.249,0,0.0,1.905,247.34,18
P1014,road,122.73,31,good,0.724,1,0.263,0.317,1,6.46,1.506,184.79,39
P1015,road,114.28,12,moderate,0.808,0,0.222,0.809,0,0.0,2.485,284.0,16
P1016,road,300.72,20,good,0.831,1,0.18,0.875,0,0.0,1.501,451.51,26
P1017,bridge,474.37,34,good,0.753,2,0.028,0.302,0,0.0,1.358,644.14,43
P1018,road,89.63,20,good,0.851,1,0.463,0.859,1,15.83,2.163,193.86,27
P1019,road,214.25,22,good,0.805,1,0.377,0.857,2,23.85,2.337,500.76,30
P1020,bridge,942.81,32,moderate,0.722,2,0.151,0.765,0,0.0,2.831,2669.19,47
P1021,road,224.3,35,good,0.931,0,0.347,0.147,1,18.81,1.282,287.61,39
P1022,road,80.82,46,moderate,0.444,2,0.075,0.69,2,2.73,0.902,72.93,69
P1023,road,122.28,41,moderate,0.602,1,0.282,0.945,1,9.74,2.262,276.6,60
P1024,road,246.35,42,moderate,0.821,1,0.425,0.683,3,44.46,1.826,449.75,60
P1025,building,184.37,16,poor,0.947,1,0.304,0.332,3,93.88,2.15,396.32,23
P1026,road,177.24,25,moderate,0.675,0,0.3,0.501,1,18.75,1.758,311.63,33
P1027,bridge,549.96,70,good,0.742,0,0.179,0.646,1,18.33,1.388,763.17,84
P1028,bridge,278.45,28,good,0.556,0,0.494,0.511,1,25.76,1.278,355.96,36
P1029,road,144.92,20,good,0.84,1,0.366,0.12,1,3.98,1.227,177.87,24
P1030,bridge,110.33,51,moderate,0.843,1,0.166,0.312,1,2.58,0.75,82.75,66
P1031,road,98.52,23,good,0.826,1,0.103,0.802,0,0.0,1.9,187.15,29
P1032,road,134.15,46,moderate,0.766,0,0.515,0.861,0,0.0,2.092,280.7,65
P1033,building,148.54,46,moderate,0.871,0,0.332,0.137,0,0.0,2.153,319.81,57
P1034,building,470.11,12,good,0.752,1,0.257,0.952,1,35.31,2.009,944.25,16
P1035,building,138.1,33,moderate,0.755,1,0.083,0.329,0,0.0,1.179,162.82,43
P1036,road,124.46,40,good,0.761,1,0.113,0.662,0,0.0,1.845,229.62,50
P1037,road,156.38,19,good,0.767,2,0.414,0.752,0,0.0,2.845,444.97,27
P1038,bridge,718.03,28,moderate,0.621,1,0.03,0.812,0,0.0,1.382,992.38,39
P1039,road,83.57,25,moderate,0.588,2,0.045,0.946,2,3.8,2.332,194.85,37
P1040,road,236.34,41,moderate,0.473,1,0.167,0.313,2,13.46,0.968,228.71,56
P1041,road,149.02,46,good,0.552,0,0.216,0.859,2,12.3,1.295,193.02,59
P1042,road,100.22,32,good,0.737,2,0.42,0.132,0,0.0,1.765,176.91,43
P1043,building,294.37,16,poor,0.768,0,0.174,0.705,2,31.75,2.224,654.76,22
P1044,road,160.71,30,moderate,0.451,0,0.37,0.742,0,0.0,1.646,264.52,42
P1045,bridge,317.32,31,moderate,0.562,0,0.378,0.678,2,92.02,1.397,443.21,43
P1046,road,152.62,37,good,0.617,2,0.358,0.252,2,20.1,1.826,278.64,50
P1047,bridge,345.8,21,moderate,0.621,1,0.412,0.873,1,80.68,1.982,685.52,31
P1048,bridge,422.17,42,good,0.533,0,0.399,0.169,0,0.0,0.871,367.5,51
P1049,road,193.42,36,good,0.606,3,0.062,0.054,2,4.37,0.963,186.36,48
P1050,building,461.47,29,poor,0.655,3,0.245,0.717,1,75.36,4.092,1888.14,49
P1051,building,149.14,19,good,0.851,1,0.555,0.475,4,21.25,1.653,246.53,25
